,COLONIA,ALCALDIA,lat,lng
1342,EL ZACATON,TLALPAN,19.2675801538,-99.2427997424
1343,HUESO PERIFERICO-ISSSFAM NO. 7 (U HABS),TLALPAN,19.2972744078,-99.1025297425
1344,LINDAVISTA II,GUSTAVO A. MADERO,19.4999583159,-99.1358145927
1345,SAN JUAN DE ARAGON 3A SECCION (U HAB) II,GUSTAVO A. MADERO,19.4514910636,-99.069141496
1346,VALLEJO II,GUSTAVO A. MADERO,19.4654691589,-99.1282828038
1347,RESIDENCIAL ZACATENCO,GUSTAVO A. MADERO,19.5013047233,-99.1232946574
1348,ROSAS DEL TEPEYAC,GUSTAVO A. MADERO,19.4906943129,-99.1146705607
1349,QUETZALCOATL 3,GUSTAVO A. MADERO,19.5589645617,-99.1416450564
1350,PALMATITLA,GUSTAVO A. MADERO,19.5519496714,-99.1325674134
1351,NUEVA INDUSTRIAL VALLEJO (FRACC),GUSTAVO A. MADERO,19.5107957566,-99.1531203934
1352,PLAZA ORIENTE (RDCIAL),GUSTAVO A. MADERO,19.4851754481,-99.0930199368
1353,LOS OLIVOS (U HAB),GUSTAVO A. MADERO,19.4731131144,-99.0816473557
1354,SAN LORENZO LA CEBADA II,XOCHIMILCO,19.2795191326,-99.1205933391
1355,SANTA INES,XOCHIMILCO,19.2339072969,-99.1144230374
1356,SANTA CECILIA TEPETLAPA (PBLO),XOCHIMILCO,19.212485509,-99.0860833173
1357,OLIVAR SANTA MARIA,XOCHIMILCO,19.2436124974,-99.0091478001
1358,SAN CRISTOBAL (BARR),XOCHIMILCO,19.2596316966,-99.0982330154
1359,SANTA CRUZ CHAVARRIETA,XOCHIMILCO,19.2260813739,-99.1225387871
1360,LA CEBADA,XOCHIMILCO,19.2772724734,-99.1231065823
1361,SAN MIGUEL TOPILEJO (PBLO),TLALPAN,19.1963273832,-99.1579184481
1362,TORIELLO GUERRA,TLALPAN,19.294868739,-99.1644891994
1363,VIVEROS DE COACTETLAN,TLALPAN,19.2431272306,-99.1528886664
1364,PEDREGAL DE SN NICOLAS 4A SECC I,TLALPAN,19.2775082687,-99.2395881516
1365,LOMAS DE TEPEMECATL,TLALPAN,19.2379800806,-99.23201652
1366,EL ROSARIO (BARR),XOCHIMILCO,19.2626271997,-99.1045121949
1367,BOSQUE RESIDENCIAL DEL SUR (FRACC),XOCHIMILCO,19.2806664114,-99.1299640812
1368,LA LAGUNA TICOMAN (BARR),GUSTAVO A. MADERO,19.51287742,-99.1295965159
1369,GUADALUPE INSURGENTES,GUSTAVO A. MADERO,19.4744043775,-99.1322655068
1370,JUVENTINO ROSAS,GUSTAVO A. MADERO,19.5627597095,-99.1346987595
1371,LA FORESTAL 1,GUSTAVO A. MADERO,19.5676192797,-99.1280183646
1372,LA PALMA,TLALPAN,19.2492689764,-99.1572413472
1373,MOVIMIENTO ORGANIZADO DE TLALPAN-EL MIRADOR (RNCDA),TLALPAN,19.2668500407,-99.152810876
1374,LA  LONJA,TLALPAN,19.2913252426,-99.1803049404
1375,LOMAS HIDALGO,TLALPAN,19.2744291633,-99.2150183291
1376,AMPLIACION RAMOS MILLAN,IZTACALCO,19.3872730713,-99.0967097977
1377,TLATILCO (U HAB),AZCAPOTZALCO,19.4628730766,-99.1638237153
1378,CUITLAHUAC,TLAHUAC,19.2640975664,-99.0173734722
1379,EL ROSARIO,TLAHUAC,19.2398475294,-99.0077676188
1380,GRANJAS MEXICO I,IZTACALCO,19.4024890651,-99.1050591862
1381,VIADUCTO PIEDAD,IZTACALCO,19.4012229882,-99.1311554387
1382,PANTITLAN III,IZTACALCO,19.4106675048,-99.0719494846
1383,JUVENTINO ROSAS I,IZTACALCO,19.392437819,-99.1106746352
1384,AGRICOLA ORIENTAL VI,IZTACALCO,19.3954613043,-99.0623951562
1385,CEDRO CHICO,ALVARO OBREGON,19.353376758,-99.25805325
1386,LOS REYES (BARR),AZCAPOTZALCO,19.4854471185,-99.1834165621
1387,JARDIN AZPEITIA,AZCAPOTZALCO,19.473058595,-99.1743521958
1388,FERRERIA,AZCAPOTZALCO,19.5032875621,-99.1745777234
1389,GARCIMARRERO NORTE,ALVARO OBREGON,19.3681037568,-99.2397165565
1390,JARDINES DEL PEDREGAL,ALVARO OBREGON,19.3197415813,-99.2074193222
1391,HOGAR Y REDENCION,ALVARO OBREGON,19.3692221029,-99.2135502484
1392,ISIDRO FABELA,ALVARO OBREGON,19.3862835131,-99.2089819526
1393,ESTADO DE HIDALGO,ALVARO OBREGON,19.3996792749,-99.2065872086
1394,LOMAS DE PUERTA GRANDE,ALVARO OBREGON,19.3544654739,-99.2298045123
1395,LOMAS DE SANTO DOMINGO (AMPL),ALVARO OBREGON,19.3942867597,-99.2022832937
1396,METROPOLITANO (U HAB),ALVARO OBREGON,19.3604002285,-99.2183068464
1397,LORETO,ALVARO OBREGON,19.340780261,-99.1925813836
1398,OLIVAR DEL CONDE 1RA SECCION I,ALVARO OBREGON,19.3751601613,-99.2047502648
1399,BELEN DE LAS FLORES_,ALVARO OBREGON,19.3554965851,-99.2337123156
1400,PROGRESO TIZAPAN,ALVARO OBREGON,19.3398979151,-99.2046659533
1401,POLVORA,ALVARO OBREGON,19.3915923904,-99.20421185
1402,TLACOYAQUE (BARR),ALVARO OBREGON,19.3238697254,-99.2662409033
1403,MOLINO DE SANTO DOMINGO (U HAB),ALVARO OBREGON,19.3933731545,-99.2035328131
1404,PASEOS DE CHURUBUSCO,IZTAPALAPA,19.3807295802,-99.0869061508
1405,JARDINES DE SAN LORENZO,IZTAPALAPA,19.2953561654,-99.073882538
1406,RICARDO FLORES MAGON,IZTAPALAPA,19.3539155828,-99.0979742579
1407,APATLACO,IZTAPALAPA,19.3802272271,-99.1160378015
1408,EJTO DE OTE II (U HAB),IZTAPALAPA,19.3819609118,-99.035463276
1409,EL PRADO,IZTAPALAPA,19.3578241921,-99.1359565722
1410,GAMA GAVILAN (U HAB),IZTAPALAPA,19.3603184376,-99.0794344365
1411,GRANJAS ESTRELLA III,IZTAPALAPA,19.3284734976,-99.0830068123
1412,SAN ANDRES TETEPILCO (PBLO),IZTAPALAPA,19.3710489509,-99.1316067715
1413,SAN FRANCISCO APOLOCALCO,IZTAPALAPA,19.327728631,-98.9669075065
1414,SAN LORENZO TEZONCO I (U HAB),IZTAPALAPA,19.3366805487,-99.0727208026
1415,SAN LORENZO TEZONCO II (U HAB),IZTAPALAPA,19.3345617926,-99.0675161075
1416,SAN SIMON CULHUACAN (BARR),IZTAPALAPA,19.3344868101,-99.1059324728
1417,VICENTE GUERRERO SUPER MANZANA 5 (U HAB),IZTAPALAPA,19.3549321458,-99.0514358704
1418,CONSEJO AGRARISTA MEXICANO II,IZTAPALAPA,19.3271003748,-99.054576823
1419,LOMAS ESTRELLA 2A SECC I,IZTAPALAPA,19.3174526548,-99.0881758514
1420,SAN MIGUEL TEOTONGO I,IZTAPALAPA,19.3510686092,-98.9913047291
1421,SAN MIGUEL TEOTONGO III,IZTAPALAPA,19.3410332116,-98.9873101881
1422,TEPALCATES I,IZTAPALAPA,19.389919008,-99.052574619
1423,VALLE DE SAN LORENZO II,IZTAPALAPA,19.3015002516,-99.0785767559
1424,XALPA II,IZTAPALAPA,19.3437032645,-99.0145517798
1425,ROTARIOS (U HAB),IZTAPALAPA,19.3869301851,-99.0406991627
1426,CHINAMPAC DE JUAREZ III,IZTAPALAPA,19.3736546643,-99.0545709473
1427,LA CONCEPCION,LA MAGDALENA CONTRERAS,19.3031779561,-99.2348552712
1428,LAS HUERTAS,LA MAGDALENA CONTRERAS,19.295661722,-99.2373797699
1429,LAS PALMAS,LA MAGDALENA CONTRERAS,19.3135040512,-99.2504272277
1430,LOMAS QUEBRADAS,LA MAGDALENA CONTRERAS,19.3152774944,-99.2406158624
1431,PEDREGAL 2 (CONJ HAB),LA MAGDALENA CONTRERAS,19.3074313161,-99.2289741391
1432,SANTA TERESA,LA MAGDALENA CONTRERAS,19.3101078862,-99.2276219256
1433,TIERRA UNIDA,LA MAGDALENA CONTRERAS,19.3036533493,-99.2687326723
1434,ZACAHUITZCO,BENITO JUAREZ,19.3732090388,-99.1387560374
1435,ANZURES,MIGUEL HIDALGO,19.4314355481,-99.1780026133
1436,CUAUHTEMOC PENSIL,MIGUEL HIDALGO,19.4449704818,-99.1938426301
1437,GRANADA (AMPL),MIGUEL HIDALGO,19.4431399378,-99.2008233746
1438,LOMAS VIRREYES (LOMAS DE CHAPULTEPEC),MIGUEL HIDALGO,19.415063017,-99.2132479263
1439,PERIODISTA,MIGUEL HIDALGO,19.4486064484,-99.2187181385
1440,CTM VII CULHUACAN (U HAB),COYOACAN,19.324889164,-99.1088011674
1441,CTM VIIA CULHUACAN (U HAB),COYOACAN,19.3192213443,-99.105274925
1442,PEDREGAL DE SAN ANGEL (AMPL),COYOACAN,19.3071684546,-99.1975159368
1443,RANCHO EL ROSARIO,COYOACAN,19.3281766418,-99.1435335993
1444,ROMERO DE TERREROS,COYOACAN,19.3412955996,-99.1704500992
1445,PEDREGAL DE SANTA URSULA II,COYOACAN,19.3084566595,-99.1501731178
1446,PEDREGAL DE SANTA URSULA III,COYOACAN,19.309400876,-99.1567192569
1447,PEDREGAL DE STO DOMINGO V,COYOACAN,19.3255676419,-99.1670118328
1448,PEDREGAL DE STO DOMINGO IX,COYOACAN,19.3298486826,-99.171667851
1449,CARACOL,VENUSTIANO CARRANZA,19.4262225574,-99.0696022156
1450,DAMIAN CARMONA,VENUSTIANO CARRANZA,19.4429260361,-99.1030877838
1451,POPULAR RASTRO,VENUSTIANO CARRANZA,19.4528213358,-99.1187422961
1452,SIMON  BOLIVAR,VENUSTIANO CARRANZA,19.4487590273,-99.0978039361
1453,20 DE NOVIEMBRE,VENUSTIANO CARRANZA,19.4442684985,-99.1089960692
1454,7 DE JULIO (AMPL),VENUSTIANO CARRANZA,19.4314356901,-99.1097998206
1455,MOCTEZUMA 2A SECCION I,VENUSTIANO CARRANZA,19.4368906727,-99.0937850965
1456,EL COYOL (U HAB),GUSTAVO A. MADERO,19.4869946795,-99.0904388406
1457,LOMA DE LA PALMA,GUSTAVO A. MADERO,19.5511569263,-99.1447522594
1458,PROVIDENCIA (AMPL),GUSTAVO A. MADERO,19.4785870655,-99.0700009184
1459,INDECO (U HAB),GUSTAVO A. MADERO,19.4734613402,-99.0897840672
1460,JOSE MARIA MORELOS Y PAVON II (U HAB),GUSTAVO A. MADERO,19.479588136,-99.0916367825
1461,LA ESMERALDA I,GUSTAVO A. MADERO,19.4864622062,-99.0873457911
1462,SAN LUIS TLAXIALTEMALCO (PBLO),XOCHIMILCO,19.2544188803,-99.0362633243
1463,AZTLAN-APACHES (U HAB),XOCHIMILCO,19.2872996702,-99.1060699823
1464,SAN LORENZO TLACOYUCAN (PBLO),MILPA ALTA,19.1752495674,-99.0307832925
1465,JOYAS VALLEJO (U HAB),GUSTAVO A. MADERO,19.5298021303,-99.1727695104
1466,CHALMA DE GUADALUPE II,GUSTAVO A. MADERO,19.5501947021,-99.1553522014
1467,15 DE AGOSTO,GUSTAVO A. MADERO,19.4845740403,-99.1079568789
1468,SAN DIEGO (BARR),XOCHIMILCO,19.2638773403,-99.0999912772
1469,LA TORTUGA XOLALPA-HCO COLEGIO MILITAR,TLALPAN,19.2573364426,-99.1507435776
1470,JARDINES DE SAN JUAN,TLALPAN,19.2115435456,-99.1863727368
1471,FUENTES Y PEDREGAL DE TEPEPAN,TLALPAN,19.2701801068,-99.1491708225
1472,HEROES DE 1910,TLALPAN,19.2482675185,-99.2324635363
1473,PARQUES DEL PEDREGAL,TLALPAN,19.2998679547,-99.1919023785
1474,PARAJE 38,TLALPAN,19.2652091347,-99.2084111692
1475,EL ARENAL,TLALPAN,19.2071084029,-99.1381885162
1476,CRUZ DEL FAROL,TLALPAN,19.2690733732,-99.2096118696
1477,BOSQUE DE TEPEXIMILPA,TLALPAN,19.2767792362,-99.1902865262
1478,SANTIAGO ATZACOALCO (PBLO),GUSTAVO A. MADERO,19.4970021695,-99.0967828846
1479,TEPEYAC INSURGENTES,GUSTAVO A. MADERO,19.4843024643,-99.1218827414
1480,VALLE DEL TEPEYAC,GUSTAVO A. MADERO,19.4879680618,-99.1415731272
1481,SAN MIGUEL-LA ESCALERA (BARR),GUSTAVO A. MADERO,19.4716531435,-99.0893244282
1482,TEZONTITLA,TLALPAN,19.2104710213,-99.1518626029
1483,VALLE DE TEPEPAN,TLALPAN,19.2722485666,-99.1455578453
1484,VISTAS DEL PEDREGAL,TLALPAN,19.2722871824,-99.2347364424
1485,TEPETONGO,TLALPAN,19.2709004805,-99.1885141376
1486,PEA ALTA,TLAHUAC,19.2324585779,-99.0049066598
1487,EMILIANO ZAPATA 2A,TLAHUAC,19.2042317695,-98.9694428486
1488,EL TRIANGULO,TLAHUAC,19.2875798338,-99.0217792769
1489,LA NOPALERA,TLAHUAC,19.2980780163,-99.0531172149
1490,ALCANTARILLA,ALVARO OBREGON,19.3392278796,-99.2456230534
1491,TEZOZOMOC,AZCAPOTZALCO,19.489479925,-99.1981532439
1492,ALPES (AMPL),ALVARO OBREGON,19.3564804634,-99.2100471303
1493,XOCHINAHUAC (U HAB),AZCAPOTZALCO,19.5076933697,-99.1941795738
1494,PROVIDENCIA,AZCAPOTZALCO,19.4906621044,-99.2117642234
1495,PASTEROS,AZCAPOTZALCO,19.4944056739,-99.1957966932
1496,IGNACIO ALLENDE,AZCAPOTZALCO,19.4669949813,-99.1618924282
1497,DEL GAS,AZCAPOTZALCO,19.4703443076,-99.157822515
1498,EX-HACIENDA EL ROSARIO,AZCAPOTZALCO,19.4983532313,-99.2098381834
1499,TEPANTITLAMILCO,TLAHUAC,19.2206099466,-98.9707006046
1500,TIERRA Y LIBERTAD,TLAHUAC,19.2608661139,-99.0068713417
1501,CUITLHUAC 1 Y 2 (U HAB),AZCAPOTZALCO,19.4722153452,-99.1672680077
1502,JUAREZ,CUAUHTEMOC,19.4270038256,-99.1616054122
1503,SANTA MARIA (U HAB),CUAUHTEMOC,19.4564342667,-99.157053889
1504,SAN BARTOLO AMEYALCO (PBLO),ALVARO OBREGON,19.3303063838,-99.269901144
1505,TECOLALCO,ALVARO OBREGON,19.3787216082,-99.2374067583
1506,PUEBLO NUEVO,ALVARO OBREGON,19.3810899141,-99.2384448233
1507,PODER POPULAR,ALVARO OBREGON,19.3638471974,-99.2024741871
1508,PARQUE RESIDENCIAL SAN ANTONIO (U HAB),ALVARO OBREGON,19.386762383,-99.1924983439
1509,LIBERALES DE 1857,ALVARO OBREGON,19.3935551206,-99.212576208
1510,LOMAS DE SANTA FE,ALVARO OBREGON,19.386774773,-99.2411863746
1511,DOS RIOS,ALVARO OBREGON,19.3572691172,-99.2458406707
1512,AXOTLA,ALVARO OBREGON,19.3583902692,-99.1749397946
1513,EL CAPULIN (AMPL),ALVARO OBREGON,19.3970501039,-99.2091242419
1514,UNION OLIVOS,ALVARO OBREGON,19.3643547993,-99.2507127519
1515,PREDIO LA ANGOSTURA,ALVARO OBREGON,19.3294455538,-99.2377868125
1516,GARCIMARRERO REACOMODO,ALVARO OBREGON,19.3662068721,-99.2349374733
1517,GARCIMARRERO,ALVARO OBREGON,19.3651992506,-99.2372253368
1518,LA HERRADURA,ALVARO OBREGON,19.3462562142,-99.2095211273
1519,AGRICOLA ORIENTAL IV,IZTACALCO,19.4003324543,-99.0680304942
1520,ZAPOTLA,IZTACALCO,19.3954182244,-99.1212826059
1521,CENTRO II,CUAUHTEMOC,19.4398500953,-99.1285178964
1522,ROMA NORTE I,CUAUHTEMOC,19.4194185761,-99.1691619817
1523,CENTRO IV,CUAUHTEMOC,19.4336362466,-99.1360300552
1524,ROMA SUR I,CUAUHTEMOC,19.4088498024,-99.1613175937
1525,SAN RAFAEL I,CUAUHTEMOC,19.4371086313,-99.1594601774
1526,AMPLIACION CANDELARIA,COYOACAN,19.328214086,-99.1500596134
1527,SAN JOAQUIN,MIGUEL HIDALGO,19.4538864184,-99.2082384537
1528,VERONICA ANZURES,MIGUEL HIDALGO,19.4364110927,-99.1744579154
1529,SANTO TOMAS,MIGUEL HIDALGO,19.4518077197,-99.1702122463
1530,TATA LZARO,MIGUEL HIDALGO,19.4487007006,-99.2110319337
1531,SAN LORENZO ACOPILCO (PBLO),CUAJIMALPA DE MORELOS,19.3329995915,-99.3246233397
1532,ABDIAS GARCIA SOTO,CUAJIMALPA DE MORELOS,19.3517180933,-99.2927079954
1533,PREDIO SANTA CRUZ MEYEHUALCO,IZTAPALAPA,19.3516651496,-99.0483154308
1534,LOMAS DE LA ESTANCIA II,IZTAPALAPA,19.3352447344,-99.0103651081
1535,CERRO DE LA ESTRELLA I,IZTAPALAPA,19.3255243254,-99.0783511476
1536,STA MARTHA ACATITLA NTE (AMPL) II,IZTAPALAPA,19.3749862597,-99.0128404767
1537,STA MARTHA ACATITLA NTE (AMPL) I,IZTAPALAPA,19.3799974196,-99.0207006843
1538,12 DE DICIEMBRE,IZTAPALAPA,19.3293370593,-99.100483758
1539,SANTA BARBARA (BARR) II,IZTAPALAPA,19.3657304982,-99.1014768029
1540,SANTA MARTHA ACATITLA,IZTAPALAPA,19.3708759874,-99.0190141303
1541,STA MA AZTAHUACAN (PBLO),IZTAPALAPA,19.3507534349,-99.0236180584
1542,VICENTE GUERRERO SUPER MANZANA 4 (U HAB),IZTAPALAPA,19.3604738213,-99.0513120881
1543,VALLE DE LUCES (U HAB),IZTAPALAPA,19.3415725332,-99.1045553689
1544,SOLIDARIDAD EL SALADO (U HAB),IZTAPALAPA,19.3727681678,-99.0066818696
1545,SAN LORENZO TEZONCO (PBLO),IZTAPALAPA,19.3107345224,-99.0629518882
1546,SAN JUAN CERRO (PJE),IZTAPALAPA,19.3436836037,-99.0790727238
1547,SAN LUCAS (BARR),IZTAPALAPA,19.3591451283,-99.0963979802
1548,SAN ANDRES TOMATLAN (PBLO),IZTAPALAPA,19.3284474037,-99.1051379194
1549,SANTA CRUZ VI (U HAB),IZTAPALAPA,19.3132573155,-99.0457231924
1550,ANAHUAC MARIANO ESCOBEDO,MIGUEL HIDALGO,19.4448273269,-99.1811347139
1551,NARVARTE III,BENITO JUAREZ,19.3920203665,-99.1588440757
1552,ANAHUAC LAGO NORTE,MIGUEL HIDALGO,19.4470351655,-99.1869804152
1553,ANAHUAC LAGO SUR,MIGUEL HIDALGO,19.4451471007,-99.1872536573
1554,LA CARBONERA,LA MAGDALENA CONTRERAS,19.2962139277,-99.2580761518
1555,POTRERILLO,LA MAGDALENA CONTRERAS,19.3068089791,-99.2528325482
1556,INFONAVIT (U HAB),LA MAGDALENA CONTRERAS,19.3365975519,-99.2084059608
1557,MIRASOLES (U HAB),IZTAPALAPA,19.3135597267,-99.0756097824
1558,LA JOYA,IZTAPALAPA,19.3726819856,-99.0299895984
1559,EL SANTUARIO,IZTAPALAPA,19.3546652532,-99.0928423363
1560,EL TRIUNFO,IZTAPALAPA,19.3778100635,-99.1205236429
1561,MIRAVALLE,BENITO JUAREZ,19.3613041503,-99.1410888215
1562,JOSEFA ORTIZ DE DOMINGUEZ,BENITO JUAREZ,19.3876570354,-99.1406906812
1563,LOMAS ALTAS,MIGUEL HIDALGO,19.3995358153,-99.2287469402
1564,DEPORTIVA PENSIL,MIGUEL HIDALGO,19.450721994,-99.2076572678
1565,TORRES TOREO,MIGUEL HIDALGO,19.4583829363,-99.2124079547
1566,PILOTO CULHUACAN (U HAB),COYOACAN,19.3222913755,-99.1117966617
1567,PRADO CHURUBUSCO,COYOACAN,19.3545178048,-99.1268016586
1568,ALIANZA POPULAR REVOLUCIONARIA NORTE (U HAB),COYOACAN,19.3190886855,-99.1204122575
1569,PEDREGAL DE SANTA URSULA IV,COYOACAN,19.3135568222,-99.1565743061
1570,EL ROSEDAL II,COYOACAN,19.3381310166,-99.1493100363
1571,PRESIDENTES EJIDALES SEGUNDA SECCION,COYOACAN,19.3253843965,-99.1239512159
1572,CANDELARIA DELOS PATOS (U HAB),VENUSTIANO CARRANZA,19.4295814858,-99.1216037072
1573,LORENZO BOTURINI,VENUSTIANO CARRANZA,19.4159216512,-99.124800073
1574,VENUSTIANO CARRANZA,VENUSTIANO CARRANZA,19.43921016,-99.1114120377
1575,VIADUCTO  - BALBUENA )CONJ HAB),VENUSTIANO CARRANZA,19.4073493198,-99.1098281363
1576,5TO TRAMO DE 20 DE NOVIEMBRE,VENUSTIANO CARRANZA,19.449885185,-99.1076722783
1577,COPILCO EL ALTO,COYOACAN,19.3308211959,-99.1754817178
1578,COPILCO EL BAJO,COYOACAN,19.3391294025,-99.1863816663
1579,EL VERGEL DE COYOACAN ( INFONAVIT EL HUESO) (U HAB),COYOACAN,19.3072658423,-99.1364697053
1580,LA MARTINICA,ALVARO OBREGON,19.3579603954,-99.2211776357
1581,LAS AGUILAS,ALVARO OBREGON,19.3605801994,-99.2027058439
1582,LLANO REDONDO,ALVARO OBREGON,19.3550941693,-99.2449950327
1583,LA CAADA,ALVARO OBREGON,19.382469292,-99.2257644896
1584,SANTA CATARINA YECAHUIZOTL (PBLO),TLAHUAC,19.3041139142,-98.9733643634
1585,DEL MAR SUR,TLAHUAC,19.2865593962,-99.0610557699
1586,CLAVERIA,AZCAPOTZALCO,19.4660515311,-99.1818671607
1587,ALDANA,AZCAPOTZALCO,19.4707366167,-99.1499968041
1588,COSMOPOLITA,AZCAPOTZALCO,19.4748060398,-99.1633333351
1589,AMPLIACION PETROLERA,AZCAPOTZALCO,19.4830379083,-99.1953133848
1590,HUAUTLA DE LAS SALINAS (BARR),AZCAPOTZALCO,19.4889789538,-99.1593029959
1591,CRUZ ROJA TEPANTONGO (U HAB),AZCAPOTZALCO,19.500232853,-99.1848091196
1592,PEMEX PRADOS DEL ROSARIO (U HAB),AZCAPOTZALCO,19.5044147576,-99.207817246
1593,LA RAZA,AZCAPOTZALCO,19.4658247372,-99.1465434375
1594,NUEVA EL ROSARIO,AZCAPOTZALCO,19.5011216891,-99.1892715651
1595,TLATILCO,AZCAPOTZALCO,19.4611990757,-99.162529277
1596,SANTA INES,AZCAPOTZALCO,19.4949631034,-99.190921139
1597,DESARROLLO URBANO,ALVARO OBREGON,19.3817464086,-99.2211690057
1598,EL CAPULIN,ALVARO OBREGON,19.3961678948,-99.211529141
1599,BALCONES DE CEHUAYO,ALVARO OBREGON,19.3575807027,-99.2407875279
1600,COLINAS DE TARANGO,ALVARO OBREGON,19.363509629,-99.2207917755
1601,BELEN DE LAS FLORES SECCION RELLENO,ALVARO OBREGON,19.3981944478,-99.2128384686
1602,CONCIENCIA PROLETARIA,ALVARO OBREGON,19.3614401153,-99.2177304035
1603,ARCOS DE CENTENARIO,ALVARO OBREGON,19.3599326874,-99.2271476742
1604,LOMAS DE BECERRA (U HAB),ALVARO OBREGON,19.3846565196,-99.2008695599
1605,OCHO DE AGOSTO,ALVARO OBREGON,19.3933694289,-99.1902516196
1606,LOMAS DE NUEVO MEXICO,ALVARO OBREGON,19.3820033282,-99.2347001805
1607,MARTIRES DE TACUBAYA,ALVARO OBREGON,19.3870327103,-99.2135792319
1608,JALALPA,ALVARO OBREGON,19.3791131621,-99.2286470082
1609,EL PARAISO,ALVARO OBREGON,19.3906259894,-99.212555088
1610,EL POCITO,ALVARO OBREGON,19.3825724917,-99.21075795
1611,EL MIRADOR,ALVARO OBREGON,19.3452436893,-99.2250100635
1612,EL CUERNITO,ALVARO OBREGON,19.3893164166,-99.2200838045
1613,LA ARAA,ALVARO OBREGON,19.3635459988,-99.2403170817
1614,PRESIDENTES,ALVARO OBREGON,19.3783804243,-99.2216785598
1615,PROF JOSE ARTURO LOPEZ,ALVARO OBREGON,19.3597043142,-99.220017333
1616,SANTA LUCIA REACOMODO,ALVARO OBREGON,19.3558182253,-99.2591672639
1617,CUAUHTEMOC,CUAUHTEMOC,19.4299776806,-99.1686722574
1618,OLIVAR DEL CONDE 2DA SECCION II,ALVARO OBREGON,19.3717615938,-99.2205281841
1619,TORRES DE MIXCOAC (U HAB),ALVARO OBREGON,19.3712304047,-99.1931354899
1620,VALENTIN GOMEZ FARIAS,ALVARO OBREGON,19.359507004,-99.2331076154
1621,TIZAMPAMPANO,ALVARO OBREGON,19.341855294,-99.2208146715
1622,DOCTORES I,CUAUHTEMOC,19.4239554155,-99.1472917929
1623,CTM ATZACOALCO (U HAB),GUSTAVO A. MADERO,19.5080784984,-99.1005610308
1624,CUAUTEPEC EL ALTO (PBLO),GUSTAVO A. MADERO,19.5570904648,-99.1341154844
1625,CASTILLO GRANDE,GUSTAVO A. MADERO,19.5380901071,-99.1383566997
1626,ARBOLEDAS DE CUAUTEPEC (AMPL),GUSTAVO A. MADERO,19.5676528089,-99.1206060685
1627,SAN MARCOS (AMPL),XOCHIMILCO,19.2878345489,-99.0941599779
1628,SAN LUCAS XOCHIMANCA (PBLO),XOCHIMILCO,19.2417732599,-99.1113747474
1629,SANTA MARIA NATIVITAS (PBLO),XOCHIMILCO,19.2435001879,-99.0890549201
1630,TESMIC (RDCIAL),XOCHIMILCO,19.2428881819,-99.1055105313
1631,CONDOMINIO DEL BOSQUE (FRACC)-BOSQUE DE TLALPAN,TLALPAN,19.2913813942,-99.1982938306
1632,ISIDRO FABELA I (PONIENTE),TLALPAN,19.3012456594,-99.179670252
1633,LOS  ENCINOS,TLALPAN,19.2775096979,-99.2273661172
1634,TEPETLICA EL ALTO-3 DE MAYO,TLALPAN,19.2346117288,-99.1473302211
1635,PIEDRA LARGA,TLALPAN,19.1911492887,-99.1375405313
1636,PROGRESO TLALPAN,TLALPAN,19.2529777536,-99.1568112611
1637,HEROES DE PADIERNA II,TLALPAN,19.2807474585,-99.2200663547
1638,PEDREGAL DE SN NICOLAS 4A SECC II,TLALPAN,19.2789547502,-99.2333747185
1639,CONJUNTO HABITACIONAL PEDREGAL DEL LAGO,TLALPAN,19.3094795251,-99.2245591291
1640,MARTIN CARRERA II,GUSTAVO A. MADERO,19.4898233495,-99.105754998
1641,CASAS ALEMAN (AMPL) I,GUSTAVO A. MADERO,19.4771468066,-99.0814302572
1642,PRADOS DE CUAUTEPEC,GUSTAVO A. MADERO,19.5612864271,-99.141457849
1643,NUEVA ATZACOALCO I,GUSTAVO A. MADERO,19.5031404862,-99.0829346065
1644,SAN JUAN DE ARAGON 2A SECCION (U HAB) II,GUSTAVO A. MADERO,19.4567025904,-99.0848142063
1645,BELVEDERE,TLALPAN,19.2688227138,-99.2270338655
1646,GENERAL FELIPE BERRIOZABAL,GUSTAVO A. MADERO,19.555215776,-99.1283190832
1647,PLANETARIO LINDAVISTA,GUSTAVO A. MADERO,19.4955800621,-99.1415203011
1648,FOVISSSTE CUCHILLA (U HAB),GUSTAVO A. MADERO,19.4718823299,-99.0875286803
1649,CANAL ONCE (U HAB),XOCHIMILCO,19.2477214445,-99.1159403771
1650,AGUA BENDITA,CUAJIMALPA DE MORELOS,19.3564879527,-99.3098289213
1651,LEYES DE REFORMA 3A SECCION II,IZTAPALAPA,19.3756780943,-99.0701767186
1652,JOSE LOPEZ PORTILLO I,IZTAPALAPA,19.303833389,-99.0832300954
1653,LOMAS DEL CHAMIZAL,CUAJIMALPA DE MORELOS,19.3931123205,-99.2627767044
1654,LA VENTA,CUAJIMALPA DE MORELOS,19.3196157598,-99.3112893322
1655,HUAYATLA,LA MAGDALENA CONTRERAS,19.308018372,-99.2623556537
1656,ATACAXCO,LA MAGDALENA CONTRERAS,19.3152816523,-99.2510025448
1657,LAS CRUCES,LA MAGDALENA CONTRERAS,19.3203526607,-99.2537493342
1658,LOMAS DE SAN BERNABE,LA MAGDALENA CONTRERAS,19.3122494789,-99.2636899955
1659,INDEPENDENCIA,BENITO JUAREZ,19.3797733751,-99.1480954964
